outer_fold,initial_label_count,strategy,labelled_count,scope,fixed_budget_summary,terminal_consistency_only,selected_count,positive_count,positive_yield
1,10,predictive_entropy,15,batch,False,False,5,3,0.6
1,10,predictive_entropy,15,cumulative,False,False,5,3,0.6
1,10,predictive_entropy,20,batch,False,False,5,0,0.0
1,10,predictive_entropy,20,cumulative,False,False,10,3,0.3
1,10,predictive_entropy,25,batch,False,False,5,5,1.0
1,10,predictive_entropy,25,cumulative,False,False,15,8,0.5333333333333333
1,10,predictive_entropy,30,batch,False,False,5,3,0.6
1,10,predictive_entropy,30,cumulative,False,False,20,11,0.55
1,10,predictive_entropy,35,batch,False,False,5,4,0.8
1,10,predictive_entropy,35,cumulative,False,False,25,15,0.6
1,10,predictive_entropy,40,batch,False,False,5,3,0.6
1,10,predictive_entropy,40,cumulative,False,False,30,18,0.6
1,10,predictive_entropy,45,batch,False,False,5,3,0.6
1,10,predictive_entropy,45,cumulative,False,False,35,21,0.6
1,10,predictive_entropy,50,batch,False,False,5,2,0.4
1,10,predictive_entropy,50,cumulative,False,False,40,23,0.575
1,10,predictive_entropy,55,batch,False,False,5,3,0.6
1,10,predictive_entropy,55,cumulative,False,False,45,26,0.5777777777777777
1,10,predictive_entropy,60,batch,True,False,5,5,1.0
1,10,predictive_entropy,60,cumulative,True,False,50,31,0.62
1,10,predictive_entropy,65,batch,False,False,5,4,0.8
1,10,predictive_entropy,65,cumulative,False,False,55,35,0.6363636363636364
1,10,predictive_entropy,70,batch,False,False,5,3,0.6
1,10,predictive_entropy,70,cumulative,False,False,60,38,0.6333333333333333
1,10,predictive_entropy,75,batch,False,False,5,3,0.6
1,10,predictive_entropy,75,cumulative,False,False,65,41,0.6307692307692307
1,10,predictive_entropy,80,batch,False,False,5,2,0.4
1,10,predictive_entropy,80,cumulative,False,False,70,43,0.6142857142857143
1,10,predictive_entropy,85,batch,False,False,5,4,0.8
1,10,predictive_entropy,85,cumulative,False,False,75,47,0.6266666666666667
1,10,predictive_entropy,90,batch,False,False,5,1,0.2
1,10,predictive_entropy,90,cumulative,False,False,80,48,0.6
1,10,predictive_entropy,95,batch,False,False,5,3,0.6
1,10,predictive_entropy,95,cumulative,False,False,85,51,0.6
1,10,predictive_entropy,100,batch,False,False,5,1,0.2
1,10,predictive_entropy,100,cumulative,False,False,90,52,0.5777777777777777
1,10,predictive_entropy,105,batch,False,False,5,4,0.8
1,10,predictive_entropy,105,cumulative,False,False,95,56,0.5894736842105263
1,10,predictive_entropy,110,batch,True,False,5,3,0.6
1,10,predictive_entropy,110,cumulative,True,False,100,59,0.59
1,10,predictive_entropy,115,batch,False,False,5,4,0.8
1,10,predictive_entropy,115,cumulative,False,False,105,63,0.6
1,10,predictive_entropy,120,batch,False,False,5,5,1.0
1,10,predictive_entropy,120,cumulative,False,False,110,68,0.6181818181818182
1,10,predictive_entropy,125,batch,False,False,5,4,0.8
1,10,predictive_entropy,125,cumulative,False,False,115,72,0.6260869565217392
1,10,predictive_entropy,130,batch,False,False,5,3,0.6
1,10,predictive_entropy,130,cumulative,False,False,120,75,0.625
1,10,predictive_entropy,135,batch,False,False,5,1,0.2
1,10,predictive_entropy,135,cumulative,False,False,125,76,0.608
1,10,predictive_entropy,140,batch,False,False,5,0,0.0
1,10,predictive_entropy,140,cumulative,False,False,130,76,0.5846153846153846
1,10,predictive_entropy,145,batch,False,False,5,2,0.4
1,10,predictive_entropy,145,cumulative,False,False,135,78,0.5777777777777777
1,10,predictive_entropy,150,batch,False,False,5,3,0.6
1,10,predictive_entropy,150,cumulative,False,False,140,81,0.5785714285714286
1,10,predictive_entropy,155,batch,False,False,5,2,0.4
1,10,predictive_entropy,155,cumulative,False,False,145,83,0.5724137931034483
1,10,predictive_entropy,160,batch,True,False,5,4,0.8
1,10,predictive_entropy,160,cumulative,True,False,150,87,0.58
1,10,predictive_entropy,165,batch,False,False,5,5,1.0
1,10,predictive_entropy,165,cumulative,False,False,155,92,0.5935483870967742
1,10,predictive_entropy,170,batch,False,False,5,1,0.2
1,10,predictive_entropy,170,cumulative,False,False,160,93,0.58125
1,10,predictive_entropy,175,batch,False,False,5,3,0.6
1,10,predictive_entropy,175,cumulative,False,False,165,96,0.5818181818181818
1,10,predictive_entropy,180,batch,False,False,5,4,0.8
1,10,predictive_entropy,180,cumulative,False,False,170,100,0.5882352941176471
1,10,predictive_entropy,185,batch,False,False,5,5,1.0
1,10,predictive_entropy,185,cumulative,False,False,175,105,0.6
1,10,predictive_entropy,190,batch,False,False,5,4,0.8
1,10,predictive_entropy,190,cumulative,False,False,180,109,0.6055555555555555
1,10,predictive_entropy,195,batch,False,False,5,5,1.0
1,10,predictive_entropy,195,cumulative,False,False,185,114,0.6162162162162163
1,10,predictive_entropy,200,batch,False,False,5,4,0.8
1,10,predictive_entropy,200,cumulative,False,False,190,118,0.6210526315789474
1,10,predictive_entropy,205,batch,False,False,5,5,1.0
1,10,predictive_entropy,205,cumulative,False,False,195,123,0.6307692307692307
1,10,predictive_entropy,210,batch,False,False,5,4,0.8
1,10,predictive_entropy,210,cumulative,False,False,200,127,0.635
1,10,predictive_entropy,215,batch,False,False,5,5,1.0
1,10,predictive_entropy,215,cumulative,False,False,205,132,0.6439024390243903
1,10,predictive_entropy,220,batch,False,False,5,5,1.0
1,10,predictive_entropy,220,cumulative,False,False,210,137,0.6523809523809524
1,10,predictive_entropy,225,batch,False,False,5,5,1.0
1,10,predictive_entropy,225,cumulative,False,False,215,142,0.6604651162790698
1,10,predictive_entropy,230,batch,False,False,5,5,1.0
1,10,predictive_entropy,230,cumulative,False,False,220,147,0.6681818181818182
1,10,predictive_entropy,235,batch,False,True,5,5,1.0
1,10,predictive_entropy,235,cumulative,False,True,225,152,0.6755555555555556
1,10,random,15,batch,False,False,5,4,0.8
1,10,random,15,cumulative,False,False,5,4,0.8
1,10,random,20,batch,False,False,5,3,0.6
1,10,random,20,cumulative,False,False,10,7,0.7
1,10,random,25,batch,False,False,5,3,0.6
1,10,random,25,cumulative,False,False,15,10,0.6666666666666666
1,10,random,30,batch,False,False,5,2,0.4
1,10,random,30,cumulative,False,False,20,12,0.6
1,10,random,35,batch,False,False,5,4,0.8
1,10,random,35,cumulative,False,False,25,16,0.64
1,10,random,40,batch,False,False,5,5,1.0
1,10,random,40,cumulative,False,False,30,21,0.7
1,10,random,45,batch,False,False,5,4,0.8
1,10,random,45,cumulative,False,False,35,25,0.7142857142857143
1,10,random,50,batch,False,False,5,4,0.8
1,10,random,50,cumulative,False,False,40,29,0.725
1,10,random,55,batch,False,False,5,3,0.6
1,10,random,55,cumulative,False,False,45,32,0.7111111111111111
1,10,random,60,batch,True,False,5,2,0.4
1,10,random,60,cumulative,True,False,50,34,0.68
1,10,random,65,batch,False,False,5,4,0.8
1,10,random,65,cumulative,False,False,55,38,0.6909090909090909
1,10,random,70,batch,False,False,5,2,0.4
1,10,random,70,cumulative,False,False,60,40,0.6666666666666666
1,10,random,75,batch,False,False,5,3,0.6
1,10,random,75,cumulative,False,False,65,43,0.6615384615384615
1,10,random,80,batch,False,False,5,3,0.6
1,10,random,80,cumulative,False,False,70,46,0.6571428571428571
1,10,random,85,batch,False,False,5,3,0.6
1,10,random,85,cumulative,False,False,75,49,0.6533333333333333
1,10,random,90,batch,False,False,5,3,0.6
1,10,random,90,cumulative,False,False,80,52,0.65
1,10,random,95,batch,False,False,5,4,0.8
1,10,random,95,cumulative,False,False,85,56,0.6588235294117647
1,10,random,100,batch,False,False,5,5,1.0
1,10,random,100,cumulative,False,False,90,61,0.6777777777777778
1,10,random,105,batch,False,False,5,3,0.6
1,10,random,105,cumulative,False,False,95,64,0.6736842105263158
1,10,random,110,batch,True,False,5,2,0.4
1,10,random,110,cumulative,True,False,100,66,0.66
1,10,random,115,batch,False,False,5,3,0.6
1,10,random,115,cumulative,False,False,105,69,0.6571428571428571
1,10,random,120,batch,False,False,5,3,0.6
1,10,random,120,cumulative,False,False,110,72,0.6545454545454545
1,10,random,125,batch,False,False,5,3,0.6
1,10,random,125,cumulative,False,False,115,75,0.6521739130434783
1,10,random,130,batch,False,False,5,4,0.8
1,10,random,130,cumulative,False,False,120,79,0.6583333333333333
1,10,random,135,batch,False,False,5,4,0.8
1,10,random,135,cumulative,False,False,125,83,0.664
1,10,random,140,batch,False,False,5,5,1.0
1,10,random,140,cumulative,False,False,130,88,0.676923076923077
1,10,random,145,batch,False,False,5,3,0.6
1,10,random,145,cumulative,False,False,135,91,0.674074074074074
1,10,random,150,batch,False,False,5,3,0.6
1,10,random,150,cumulative,False,False,140,94,0.6714285714285714
1,10,random,155,batch,False,False,5,2,0.4
1,10,random,155,cumulative,False,False,145,96,0.6620689655172414
1,10,random,160,batch,True,False,5,3,0.6
1,10,random,160,cumulative,True,False,150,99,0.66
1,10,random,165,batch,False,False,5,1,0.2
1,10,random,165,cumulative,False,False,155,100,0.6451612903225806
1,10,random,170,batch,False,False,5,5,1.0
1,10,random,170,cumulative,False,False,160,105,0.65625
1,10,random,175,batch,False,False,5,5,1.0
1,10,random,175,cumulative,False,False,165,110,0.6666666666666666
1,10,random,180,batch,False,False,5,3,0.6
1,10,random,180,cumulative,False,False,170,113,0.6647058823529411
1,10,random,185,batch,False,False,5,5,1.0
1,10,random,185,cumulative,False,False,175,118,0.6742857142857143
1,10,random,190,batch,False,False,5,3,0.6
1,10,random,190,cumulative,False,False,180,121,0.6722222222222223
1,10,random,195,batch,False,False,5,4,0.8
1,10,random,195,cumulative,False,False,185,125,0.6756756756756757
1,10,random,200,batch,False,False,5,4,0.8
1,10,random,200,cumulative,False,False,190,129,0.6789473684210526
1,10,random,205,batch,False,False,5,1,0.2
1,10,random,205,cumulative,False,False,195,130,0.6666666666666666
1,10,random,210,batch,False,False,5,2,0.4
1,10,random,210,cumulative,False,False,200,132,0.66
1,10,random,215,batch,False,False,5,4,0.8
1,10,random,215,cumulative,False,False,205,136,0.6634146341463415
1,10,random,220,batch,False,False,5,3,0.6
1,10,random,220,cumulative,False,False,210,139,0.6619047619047619
1,10,random,225,batch,False,False,5,4,0.8
1,10,random,225,cumulative,False,False,215,143,0.6651162790697674
1,10,random,230,batch,False,False,5,5,1.0
1,10,random,230,cumulative,False,False,220,148,0.6727272727272727
1,10,random,235,batch,False,True,5,4,0.8
1,10,random,235,cumulative,False,True,225,152,0.6755555555555556
1,10,self_paced_entropy,15,batch,False,False,5,2,0.4
1,10,self_paced_entropy,15,cumulative,False,False,5,2,0.4
1,10,self_paced_entropy,20,batch,False,False,5,2,0.4
1,10,self_paced_entropy,20,cumulative,False,False,10,4,0.4
1,10,self_paced_entropy,25,batch,False,False,5,4,0.8
1,10,self_paced_entropy,25,cumulative,False,False,15,8,0.5333333333333333
1,10,self_paced_entropy,30,batch,False,False,5,3,0.6
1,10,self_paced_entropy,30,cumulative,False,False,20,11,0.55
1,10,self_paced_entropy,35,batch,False,False,5,2,0.4
1,10,self_paced_entropy,35,cumulative,False,False,25,13,0.52
1,10,self_paced_entropy,40,batch,False,False,5,2,0.4
1,10,self_paced_entropy,40,cumulative,False,False,30,15,0.5
1,10,self_paced_entropy,45,batch,False,False,5,2,0.4
1,10,self_paced_entropy,45,cumulative,False,False,35,17,0.4857142857142857
1,10,self_paced_entropy,50,batch,False,False,5,3,0.6
1,10,self_paced_entropy,50,cumulative,False,False,40,20,0.5
1,10,self_paced_entropy,55,batch,False,False,5,2,0.4
1,10,self_paced_entropy,55,cumulative,False,False,45,22,0.4888888888888889
1,10,self_paced_entropy,60,batch,True,False,5,2,0.4
1,10,self_paced_entropy,60,cumulative,True,False,50,24,0.48
1,10,self_paced_entropy,65,batch,False,False,5,1,0.2
1,10,self_paced_entropy,65,cumulative,False,False,55,25,0.45454545454545453
1,10,self_paced_entropy,70,batch,False,False,5,1,0.2
1,10,self_paced_entropy,70,cumulative,False,False,60,26,0.43333333333333335
1,10,self_paced_entropy,75,batch,False,False,5,1,0.2
1,10,self_paced_entropy,75,cumulative,False,False,65,27,0.4153846153846154
1,10,self_paced_entropy,80,batch,False,False,5,3,0.6
1,10,self_paced_entropy,80,cumulative,False,False,70,30,0.42857142857142855
1,10,self_paced_entropy,85,batch,False,False,5,5,1.0
1,10,self_paced_entropy,85,cumulative,False,False,75,35,0.4666666666666667
1,10,self_paced_entropy,90,batch,False,False,5,4,0.8
1,10,self_paced_entropy,90,cumulative,False,False,80,39,0.4875
1,10,self_paced_entropy,95,batch,False,False,5,3,0.6
1,10,self_paced_entropy,95,cumulative,False,False,85,42,0.49411764705882355
1,10,self_paced_entropy,100,batch,False,False,5,4,0.8
1,10,self_paced_entropy,100,cumulative,False,False,90,46,0.5111111111111111
1,10,self_paced_entropy,105,batch,False,False,5,2,0.4
1,10,self_paced_entropy,105,cumulative,False,False,95,48,0.5052631578947369
1,10,self_paced_entropy,110,batch,True,False,5,3,0.6
1,10,self_paced_entropy,110,cumulative,True,False,100,51,0.51
1,10,self_paced_entropy,115,batch,False,False,5,4,0.8
1,10,self_paced_entropy,115,cumulative,False,False,105,55,0.5238095238095238
1,10,self_paced_entropy,120,batch,False,False,5,5,1.0
1,10,self_paced_entropy,120,cumulative,False,False,110,60,0.5454545454545454
1,10,self_paced_entropy,125,batch,False,False,5,4,0.8
1,10,self_paced_entropy,125,cumulative,False,False,115,64,0.5565217391304348
1,10,self_paced_entropy,130,batch,False,False,5,4,0.8
1,10,self_paced_entropy,130,cumulative,False,False,120,68,0.5666666666666667
1,10,self_paced_entropy,135,batch,False,False,5,4,0.8
1,10,self_paced_entropy,135,cumulative,False,False,125,72,0.576
1,10,self_paced_entropy,140,batch,False,False,5,1,0.2
1,10,self_paced_entropy,140,cumulative,False,False,130,73,0.5615384615384615
1,10,self_paced_entropy,145,batch,False,False,5,2,0.4
1,10,self_paced_entropy,145,cumulative,False,False,135,75,0.5555555555555556
1,10,self_paced_entropy,150,batch,False,False,5,3,0.6
1,10,self_paced_entropy,150,cumulative,False,False,140,78,0.5571428571428572
1,10,self_paced_entropy,155,batch,False,False,5,3,0.6
1,10,self_paced_entropy,155,cumulative,False,False,145,81,0.5586206896551724
1,10,self_paced_entropy,160,batch,True,False,5,3,0.6
1,10,self_paced_entropy,160,cumulative,True,False,150,84,0.56
1,10,self_paced_entropy,165,batch,False,False,5,4,0.8
1,10,self_paced_entropy,165,cumulative,False,False,155,88,0.567741935483871
1,10,self_paced_entropy,170,batch,False,False,5,3,0.6
1,10,self_paced_entropy,170,cumulative,False,False,160,91,0.56875
1,10,self_paced_entropy,175,batch,False,False,5,4,0.8
1,10,self_paced_entropy,175,cumulative,False,False,165,95,0.5757575757575758
1,10,self_paced_entropy,180,batch,False,False,5,5,1.0
1,10,self_paced_entropy,180,cumulative,False,False,170,100,0.5882352941176471
1,10,self_paced_entropy,185,batch,False,False,5,5,1.0
1,10,self_paced_entropy,185,cumulative,False,False,175,105,0.6
1,10,self_paced_entropy,190,batch,False,False,5,3,0.6
1,10,self_paced_entropy,190,cumulative,False,False,180,108,0.6
1,10,self_paced_entropy,195,batch,False,False,5,5,1.0
1,10,self_paced_entropy,195,cumulative,False,False,185,113,0.6108108108108108
1,10,self_paced_entropy,200,batch,False,False,5,5,1.0
1,10,self_paced_entropy,200,cumulative,False,False,190,118,0.6210526315789474
1,10,self_paced_entropy,205,batch,False,False,5,5,1.0
1,10,self_paced_entropy,205,cumulative,False,False,195,123,0.6307692307692307
1,10,self_paced_entropy,210,batch,False,False,5,5,1.0
1,10,self_paced_entropy,210,cumulative,False,False,200,128,0.64
1,10,self_paced_entropy,215,batch,False,False,5,4,0.8
1,10,self_paced_entropy,215,cumulative,False,False,205,132,0.6439024390243903
1,10,self_paced_entropy,220,batch,False,False,5,5,1.0
1,10,self_paced_entropy,220,cumulative,False,False,210,137,0.6523809523809524
1,10,self_paced_entropy,225,batch,False,False,5,5,1.0
1,10,self_paced_entropy,225,cumulative,False,False,215,142,0.6604651162790698
1,10,self_paced_entropy,230,batch,False,False,5,5,1.0
1,10,self_paced_entropy,230,cumulative,False,False,220,147,0.6681818181818182
1,10,self_paced_entropy,235,batch,False,True,5,5,1.0
1,10,self_paced_entropy,235,cumulative,False,True,225,152,0.6755555555555556
1,10,static_easy_entropy,15,batch,False,False,5,2,0.4
1,10,static_easy_entropy,15,cumulative,False,False,5,2,0.4
1,10,static_easy_entropy,20,batch,False,False,5,3,0.6
1,10,static_easy_entropy,20,cumulative,False,False,10,5,0.5
1,10,static_easy_entropy,25,batch,False,False,5,4,0.8
1,10,static_easy_entropy,25,cumulative,False,False,15,9,0.6
1,10,static_easy_entropy,30,batch,False,False,5,1,0.2
1,10,static_easy_entropy,30,cumulative,False,False,20,10,0.5
1,10,static_easy_entropy,35,batch,False,False,5,3,0.6
1,10,static_easy_entropy,35,cumulative,False,False,25,13,0.52
1,10,static_easy_entropy,40,batch,False,False,5,2,0.4
1,10,static_easy_entropy,40,cumulative,False,False,30,15,0.5
1,10,static_easy_entropy,45,batch,False,False,5,4,0.8
1,10,static_easy_entropy,45,cumulative,False,False,35,19,0.5428571428571428
1,10,static_easy_entropy,50,batch,False,False,5,2,0.4
1,10,static_easy_entropy,50,cumulative,False,False,40,21,0.525
1,10,static_easy_entropy,55,batch,False,False,5,3,0.6
1,10,static_easy_entropy,55,cumulative,False,False,45,24,0.5333333333333333
1,10,static_easy_entropy,60,batch,True,False,5,2,0.4
1,10,static_easy_entropy,60,cumulative,True,False,50,26,0.52
1,10,static_easy_entropy,65,batch,False,False,5,2,0.4
1,10,static_easy_entropy,65,cumulative,False,False,55,28,0.509090909090909
1,10,static_easy_entropy,70,batch,False,False,5,2,0.4
1,10,static_easy_entropy,70,cumulative,False,False,60,30,0.5
1,10,static_easy_entropy,75,batch,False,False,5,0,0.0
1,10,static_easy_entropy,75,cumulative,False,False,65,30,0.46153846153846156
1,10,static_easy_entropy,80,batch,False,False,5,1,0.2
1,10,static_easy_entropy,80,cumulative,False,False,70,31,0.44285714285714284
1,10,static_easy_entropy,85,batch,False,False,5,4,0.8
1,10,static_easy_entropy,85,cumulative,False,False,75,35,0.4666666666666667
1,10,static_easy_entropy,90,batch,False,False,5,2,0.4
1,10,static_easy_entropy,90,cumulative,False,False,80,37,0.4625
1,10,static_easy_entropy,95,batch,False,False,5,2,0.4
1,10,static_easy_entropy,95,cumulative,False,False,85,39,0.4588235294117647
1,10,static_easy_entropy,100,batch,False,False,5,3,0.6
1,10,static_easy_entropy,100,cumulative,False,False,90,42,0.4666666666666667
1,10,static_easy_entropy,105,batch,False,False,5,2,0.4
1,10,static_easy_entropy,105,cumulative,False,False,95,44,0.4631578947368421
1,10,static_easy_entropy,110,batch,True,False,5,5,1.0
1,10,static_easy_entropy,110,cumulative,True,False,100,49,0.49
1,10,static_easy_entropy,115,batch,False,False,5,4,0.8
1,10,static_easy_entropy,115,cumulative,False,False,105,53,0.5047619047619047
1,10,static_easy_entropy,120,batch,False,False,5,2,0.4
1,10,static_easy_entropy,120,cumulative,False,False,110,55,0.5
1,10,static_easy_entropy,125,batch,False,False,5,2,0.4
1,10,static_easy_entropy,125,cumulative,False,False,115,57,0.4956521739130435
1,10,static_easy_entropy,130,batch,False,False,5,3,0.6
1,10,static_easy_entropy,130,cumulative,False,False,120,60,0.5
1,10,static_easy_entropy,135,batch,False,False,5,4,0.8
1,10,static_easy_entropy,135,cumulative,False,False,125,64,0.512
1,10,static_easy_entropy,140,batch,False,False,5,4,0.8
1,10,static_easy_entropy,140,cumulative,False,False,130,68,0.5230769230769231
1,10,static_easy_entropy,145,batch,False,False,5,4,0.8
1,10,static_easy_entropy,145,cumulative,False,False,135,72,0.5333333333333333
1,10,static_easy_entropy,150,batch,False,False,5,4,0.8
1,10,static_easy_entropy,150,cumulative,False,False,140,76,0.5428571428571428
1,10,static_easy_entropy,155,batch,False,False,5,4,0.8
1,10,static_easy_entropy,155,cumulative,False,False,145,80,0.5517241379310345
1,10,static_easy_entropy,160,batch,True,False,5,3,0.6
1,10,static_easy_entropy,160,cumulative,True,False,150,83,0.5533333333333333
1,10,static_easy_entropy,165,batch,False,False,5,5,1.0
1,10,static_easy_entropy,165,cumulative,False,False,155,88,0.567741935483871
1,10,static_easy_entropy,170,batch,False,False,5,5,1.0
1,10,static_easy_entropy,170,cumulative,False,False,160,93,0.58125
1,10,static_easy_entropy,175,batch,False,False,5,5,1.0
1,10,static_easy_entropy,175,cumulative,False,False,165,98,0.593939393939394
1,10,static_easy_entropy,180,batch,False,False,5,4,0.8
1,10,static_easy_entropy,180,cumulative,False,False,170,102,0.6
1,10,static_easy_entropy,185,batch,False,False,5,5,1.0
1,10,static_easy_entropy,185,cumulative,False,False,175,107,0.6114285714285714
1,10,static_easy_entropy,190,batch,False,False,5,5,1.0
1,10,static_easy_entropy,190,cumulative,False,False,180,112,0.6222222222222222
1,10,static_easy_entropy,195,batch,False,False,5,2,0.4
1,10,static_easy_entropy,195,cumulative,False,False,185,114,0.6162162162162163
1,10,static_easy_entropy,200,batch,False,False,5,5,1.0
1,10,static_easy_entropy,200,cumulative,False,False,190,119,0.6263157894736842
1,10,static_easy_entropy,205,batch,False,False,5,5,1.0
1,10,static_easy_entropy,205,cumulative,False,False,195,124,0.6358974358974359
1,10,static_easy_entropy,210,batch,False,False,5,4,0.8
1,10,static_easy_entropy,210,cumulative,False,False,200,128,0.64
1,10,static_easy_entropy,215,batch,False,False,5,5,1.0
1,10,static_easy_entropy,215,cumulative,False,False,205,133,0.6487804878048781
1,10,static_easy_entropy,220,batch,False,False,5,5,1.0
1,10,static_easy_entropy,220,cumulative,False,False,210,138,0.6571428571428571
1,10,static_easy_entropy,225,batch,False,False,5,4,0.8
1,10,static_easy_entropy,225,cumulative,False,False,215,142,0.6604651162790698
1,10,static_easy_entropy,230,batch,False,False,5,5,1.0
1,10,static_easy_entropy,230,cumulative,False,False,220,147,0.6681818181818182
1,10,static_easy_entropy,235,batch,False,True,5,5,1.0
